ID,OBJECTID,ISO,P_Code,M_Code,Municipality,Area (km2),Avg. Elevation (m),Perimeter (m),Coastline length (m),C/P Ratio,Distance to coastline (m. mean),Distance to coastline (m. stdev),Ruggedness index (mean),Ruggedness index (stdev),Slope (mean),Slope (stdev),Landuse (Most common),Population 2010 census,Population 2013 est.,Population 2015 census,Pop. Density 2015 per km2,Poverty (%),Avg. Windspeed (km/h),Distance from typhoon path (km),Area Flooded (%),Rainfallme,Surge Height int. (m),Surge risk class (REACH),People affected,People affected (% 2010),Houses damaged,rain_oct18-20,rain oct11-18
,28,PHL,PH010000000,PH012905000,CABUGAO,112.323,,,,,,,,,,,,,,37501,333.8675071,4.527879257,86.60798897,53.9791941,,480.0637555,,,,,,320.6626534,159.4011021
,29,PHL,PH010000000,PH012906000,CITY OF CANDON,77.653,,,,,,,,,,,,,,60623,780.6910229,2.657407255,70,115.6991822,,663.9455027,,,,,,538.7633045,125.1821982
,30,PHL,PH010000000,PH012907000,CAOAYAN,17.536,,,,,,,,,,,,,,19861,1132.584398,3.297920548,80,84.11697891,,481.9572764,,,,,,374.2306269,107.7266495
,31,PHL,PH010000000,PH012908000,CERVANTES,243.153,,,,,,,,,,,,,,17211,70.78259368,8.111091744,69.21539448,126.073334,,680.775,,,,,,539.35,141.425
,32,PHL,PH010000000,PH012909000,GALIMUYOD,34.152,,,,,,,,,,,,,,10748,314.7107051,5.089318943,70,114.1349206,,676.982471,,,,,,548.1844832,128.7979878
,33,PHL,PH010000000,PH012910000,GREGORIO DEL PILAR (CONCEPCION),54.122,,,,,,,,,,,,,,4875,90.07427663,8.697435897,70,113.6381898,,696.6199875,,,,,,560.7903835,135.8296041
,34,PHL,PH010000000,PH012911000,LIDLIDDA,34.18,,,,,,,,,,,,,,4647,135.9566998,7.187432752,79.62588947,106.205948,,655.3,,,,,,536.4,118.9
,35,PHL,PH010000000,PH012912000,MAGSINGAL,82.503,,,,,,,,,,,,,,30792,373.2227919,4.994803845,80.71017603,66.52480708,,503.0844379,,,,,,357.6310316,145.4534062
,36,PHL,PH010000000,PH012913000,NAGBUKEL,42.457,,,,,,,,,,,,,,5259,123.8665002,8.062369272,80,86.93574121,,489.9,,,,,,365.5,124.4
,37,PHL,PH010000000,PH012914000,NARVACAN,103.464,,,,,,,,,,,,,,44006,425.3266837,3.333636322,80,88.36148498,,515.5796977,,,,,,388.0742568,127.5054409
